DATABASE	NAME	EC NUMBER(S)	KEGG ID(S)	DELTAG (kcal/mol)	DELTAG ERROR (kcal/mol)	EQUATION	NAME EQ	THERMODYNAMIC FEASIBILTY
rxn00499	(S)-Lactate:NAD+ oxidoreductase	|1.1.1.27|	R00703	6.22	1.09509	cpd00003_c0 + cpd00159_c0 <=> cpd00004_c0 + cpd00020_c0 + cpd00067_c0	NAD + LCTT <=> NADH + Pyruvate + H+	<=>
rxn00498	Farnesyl-diphosphate:farnesyl-diphosphate farnesyltransferase	|2.5.1.21|	R00702	-17.8	1.81887	(2) cpd00350_c0 <=> cpd00012_c0 + cpd02169_c0	2 Farnesyldiphosphate <=> PPi + Presqualene diphosphate	=>
rxn00497	L-Phenylalanine carboxy-lyase	|4.1.1.28|4.1.1.53|	R00699	-3.09	0.5417	cpd00066_c0 + cpd00067_c0 <=> cpd00011_c0 + cpd03161_c0	L-Phenylalanine + H+ <=> CO2 + Phenethylamine	=>
rxn00496	Donor:hydrogen-peroxide oxidoreductase	|1.11.1.7|		43.61	0.580699	cpd00066_c0 <=> cpd01647_c0	L-Phenylalanine <=> 2-Phenylacetamide	<=
rxn00495	L-Phenylalanine ammonia-lyase	|4.3.1.5|4.3.1.24|4.3.1.25|	R00697	-0.19	0.887102	cpd00066_c0 <=> cpd00013_c0 + cpd00333_c0	L-Phenylalanine <=> NH3 + (E)-Cinnamate	=>
rxn00494	L-Aspartate:phenylpyruvate aminotransferase	|2.6.1.70|	R00695	0	2	cpd00041_c0 + cpd00143_c0 <=> cpd00032_c0 + cpd00066_c0	Aspartate + Phenylpyruvate <=> Oxaloacetate + L-Phenylalanine	<=>
rxn00493	L-Phenylalanine:2-oxoglutarate aminotransferase	2.6.1.1|2.6.1.1 or 2.6.1.9|2.6.1.5|2.6.1.57|2.6.1.58|2.6.1.9	R00694	0	2	cpd00024_c0 + cpd00066_c0 <=> cpd00023_c0 + cpd00143_c0	2-Oxoglutarate + L-Phenylalanine <=> GLU + Phenylpyruvate	<=>
rxn00492	Acetyl-CoA:L-phenylalanine N-acetyltransferase	|2.3.1.53|	R00693	-5.294	1.25997	cpd00022_c0 + cpd00066_c0 <=> cpd00010_c0 + cpd00067_c0 + cpd02218_c0	Acetyl-CoA + L-Phenylalanine <=> CoA + H+ + N-Acetyl-L-phenylalanine	=>
rxn00491	L-Phenylalanine(L-histidine):pyruvate aminotransferase	|2.6.1.58|	R00692	0	2	cpd00020_c0 + cpd00066_c0 <=> cpd00035_c0 + cpd00143_c0	Pyruvate + L-Phenylalanine <=> ALA + Phenylpyruvate	<=>
rxn00490	L-Arogenate hydro-lyase (decarboxylating)	|4.2.1.51|4.2.1.91|	R00691	-29.067	1.65133	cpd00067_c0 + cpd00616_c0 <=> cpd00001_c0 + cpd00011_c0 + cpd00066_c0	H+ + L-Arogenate <=> H2O + CO2 + L-Phenylalanine	=>
rxn00489	L-Phenylalanine:oxygen 2-oxidoreductase (decarboxylating)	|1.13.12.9|	R00690	-109.257	1.04269	cpd00007_c0 + cpd00066_c0 <=> cpd00001_c0 + cpd00011_c0 + cpd01647_c0	O2 + L-Phenylalanine <=> H2O + CO2 + 2-Phenylacetamide	=>
rxn00488	L-Phenylalanine:oxygen oxidoreductase (deaminating)	|1.4.3.2|	R00689	-23.0227	1.06194	cpd00001_c0 + cpd00007_c0 + cpd00066_c0 <=> cpd00013_c0 + cpd00025_c0 + cpd00143_c0	H2O + O2 + L-Phenylalanine <=> NH3 + H2O2 + Phenylpyruvate	=>
rxn00487	L-phenylalanine:NAD+ oxidoreductase (deaminating)	|1.4.1.20|	R00688	8.687	1.31216	cpd00001_c0 + cpd00003_c0 + cpd00066_c0 <=> cpd00004_c0 + cpd00013_c0 + cpd00067_c0 + cpd00143_c0	H2O + NAD + L-Phenylalanine <=> NADH + NH3 + H+ + Phenylpyruvate	<=>
rxn00486	ATP:L-phenylalanine adenylyltransferase	|2.7.7.54|	R00687	-11.71	0.770588	cpd00002_c0 + cpd00066_c0 <=> cpd00012_c0 + cpd00067_c0 + cpd02326_c0	ATP + L-Phenylalanine <=> PPi + H+ + N-Adenylyl-L-phenylalanine	=>
rxn00485	L-Phenylalanine racemase (ATP-hydrolysing)	|5.1.1.11|	R00686	-8.243	0.748021	cpd00001_c0 + cpd00002_c0 + cpd00066_c0 <=> cpd00012_c0 + cpd00018_c0 + cpd01526_c0	H2O + ATP + L-Phenylalanine <=> PPi + AMP + D-Phenylalanine	=>
rxn00483	L-Tryptophan:2-oxoglutarate aminotransferase	|2.6.1.27|	R00684	0	2	cpd00024_c0 + cpd00065_c0 <=> cpd00023_c0 + cpd00278_c0	2-Oxoglutarate + Tryptophan <=> GLU + Indolepyruvate	<=>
rxn00484	L-Tryptophan decarboxy-lyase	|4.1.1.28|	R00685	-3.09	0.5417	cpd00065_c0 + cpd00067_c0 <=> cpd00011_c0 + cpd00318_c0	Tryptophan + H+ <=> CO2 + Tryptamine	=>
rxn00482	S-Adenosyl-L-methionine:L-tryptophan 2-C-methyltransferase	|2.1.1.106|	R08547	-10.46	2.36612	cpd00017_c0 + cpd00065_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd01911_c0	SAM + Tryptophan <=> S-Adenosylhomocysteine + H+ + Abrine	=>
rxn00481	L-Tryptophanamide amidohydrolase	|3.5.1.57|	R00682	-4.723	0.88056	cpd00001_c0 + cpd00720_c0 <=> cpd00013_c0 + cpd00065_c0	H2O + L-Tryptophanamide <=> NH3 + Tryptophan	=>
rxn00480	L-Tryptophan:oxygen 2'-oxidoreductase (side-chain-cleaving)	|1.13.99.3|	R00681	-89.7897	0.922615	cpd00007_c0 + cpd00065_c0 + cpd00067_c0 <=> cpd00011_c0 + cpd00013_c0 + cpd02067_c0	O2 + Tryptophan + H+ <=> CO2 + NH3 + 3-Indoleglycolaldehyde	=>
rxn00479	L-Tryptophan:oxygen 2-oxidoreductase(decarboxylating)	|1.13.12.3|	R00679	-109.257	1.04269	cpd00007_c0 + cpd00065_c0 <=> cpd00001_c0 + cpd00011_c0 + cpd01747_c0	O2 + Tryptophan <=> H2O + CO2 + Indole-3-acetamide	=>
rxn00478	L-tryptophan:oxygen 2,3-oxidoreductase (decyclizing)	|1.13.11.11|1.13.11.52|	R00678	-92.0997	1.79826	cpd00007_c0 + cpd00065_c0 <=> cpd01749_c0	O2 + Tryptophan <=> L-Formylkynurenine	=>
rxn00477	L-Tryptophan:oxygen oxidoreductase (deaminating)	|1.4.3.2|	R00677	-23.0227	1.06194	cpd00001_c0 + cpd00007_c0 + cpd00065_c0 <=> cpd00013_c0 + cpd00025_c0 + cpd00278_c0	H2O + O2 + Tryptophan <=> NH3 + H2O2 + Indolepyruvate	=>
rxn00476	L-Tryptophan:NADP+ oxidoreductase (deaminating)	|1.4.1.19|	R00676	8.687	1.31216	cpd00001_c0 + cpd00006_c0 + cpd00065_c0 <=> cpd00005_c0 + cpd00013_c0 + cpd00067_c0 + cpd00278_c0	H2O + TPN + Tryptophan <=> TPNH + NH3 + H+ + Indolepyruvate	<=>
rxn00475	L-Tryptophan:NAD+ oxidoreductase (deaminating)	|1.4.1.19|	R00675	8.687	1.31216	cpd00001_c0 + cpd00003_c0 + cpd00065_c0 <=> cpd00004_c0 + cpd00013_c0 + cpd00067_c0 + cpd00278_c0	H2O + NAD + Tryptophan <=> NADH + NH3 + H+ + Indolepyruvate	<=>
rxn00474	L-Serine hydro-lyase (adding indoleglycerol-phosphate)	4.2.1.20	R00674	-11.947	0.694816	cpd00054_c0 + cpd00359_c0 <=> cpd00001_c0 + cpd00065_c0	Serine + indol <=> H2O + Tryptophan	=>
rxn00472	L-Ornithine racemase	|5.1.1.9|5.1.1.10|5.1.1.12|	R00672	0	2	cpd00064_c0 <=> cpd00404_c0	Ornithine <=> D-Ornithine	<=>
rxn00473	L-Tryotophan indole-lyase (deaminating)	4.1.99.1	R00673	4.437	0.929622	cpd00001_c0 + cpd00065_c0 <=> cpd00013_c0 + cpd00020_c0 + cpd00359_c0	H2O + Tryptophan <=> NH3 + Pyruvate + indol	=>
rxn00471	L-Ornithine ammonia-lyase(cyclizing)	|4.3.1.12|	R00671	-5.38	1.17269	cpd00064_c0 <=> cpd00013_c0 + cpd00067_c0 + cpd00129_c0	Ornithine <=> NH3 + H+ + L-Proline	=>
rxn00470	L-Ornithine carboxy-lyase	4.1.1.17	R00670	-3.09	0.5417	cpd00064_c0 + cpd00067_c0 <=> cpd00011_c0 + cpd00118_c0	Ornithine + H+ <=> CO2 + PUTR	=>
rxn00469	N2-Acetyl-L-ornithine amidohydrolase	3.5.1.14|3.5.1.16	R00669	-2.003	0.984391	cpd00001_c0 + cpd00342_c0 <=> cpd00029_c0 + cpd00064_c0	H2O + N-Acetylornithine <=> ACET + Ornithine	<=>
rxn00468	L-Ornithine(L-lysine):2-oxoglutarate omega-aminotransferase	|2.6.1.68|	R00668	-15.057	1.0618	cpd00024_c0 + cpd00064_c0 <=> cpd00001_c0 + cpd00023_c0 + cpd00067_c0 + cpd02651_c0	2-Oxoglutarate + Ornithine <=> H2O + GLU + H+ + 3,4-Dihydro-2H-Pyrrole-2-carboxylate	=>
rxn00467	L-Ornithine:2-oxo-acid aminotransferase	2.6.1.13	R00667	-1	0.351998	cpd00024_c0 + cpd00064_c0 <=> cpd00023_c0 + cpd00858_c0	2-Oxoglutarate + Ornithine <=> GLU + L-Glutamate5-semialdehyde	<=>
rxn00466	N5-(L-1-carboxyethyl)-L-ornithine:NADP+ oxidoreductase	|1.5.1.24|	R00666	9.207	1.51055	cpd00001_c0 + cpd00006_c0 + cpd02587_c0 <=> cpd00005_c0 + cpd00020_c0 + cpd00064_c0 + cpd00067_c0	H2O + TPN + N5-(L-1-Carboxyethyl)-L-ornithine <=> TPNH + Pyruvate + Ornithine + H+	<=>
rxn00465	L-Citrulline N5-carbamoyldihydrolase	|3.5.1.20|	R00665	2.727	1.29616	cpd00001_c0 + (2) cpd00067_c0 + cpd00274_c0 <=> cpd00011_c0 + cpd00013_c0 + cpd00064_c0	H2O + 2 H+ + Citrulline <=> CO2 + NH3 + Ornithine	=>
rxn00464	Bezoyl-CoA:L-ornithine N-benzoyltransferase	|2.3.1.127|	R00664	-10.588	2.51994	cpd00064_c0 + (2) cpd00401_c0 <=> (2) cpd00010_c0 + (2) cpd00067_c0 + cpd02329_c0	Ornithine + 2 Benzoyl-CoA <=> 2 CoA + 2 H+ + L-Ornithuric acid	=>
rxn00463	Uridine triphosphate pyrophosphohydrolase	|3.6.1.8|3.6.1.19|	R00662	-8.243	0.748021	cpd00001_c0 + cpd00062_c0 <=> cpd00012_c0 + cpd00091_c0	H2O + UTP <=> PPi + UMP	=>
rxn00462	Phosphoenolpyruvate 2,3-phosphonomutase	|5.4.2.9|	R00661	-5.87	0.776311	cpd00061_c0 <=> cpd00067_c0 + cpd01807_c0	PEP <=> H+ + 3-Phosphonopyruvate	=>
rxn00461	Phosphoenolpyruvate:UDP-N-acetyl-D-glucosamine	2.5.1.7	R00660	0.796	0.676477	cpd00037_c0 + cpd00061_c0 <=> cpd00009_c0 + cpd00067_c0 + cpd02820_c0	UDP-N-acetylglucosamine + PEP <=> Phosphate + H+ + UDP-N-acetylglucosamine enolpyruvate	<=>
rxn00460	UTP:pyruvate O2-phosphotransferase	|2.7.1.40|	R00659	4.61	0.654305	cpd00020_c0 + cpd00062_c0 <=> cpd00014_c0 + cpd00061_c0	Pyruvate + UTP <=> UDP + PEP	<=>
rxn00459	2-Phospho-D-glycerate hydro-lyase	4.2.1.11	R00658	-0.867	0.779214	cpd00482_c0 <=> cpd00001_c0 + cpd00061_c0	2-Phospho-D-glycerate <=> H2O + PEP	<=>
rxn00458	L-Methionine carboxy-lyase	|4.1.1.57|	R00656	-3.09	0.5417	cpd00060_c0 + cpd00067_c0 <=> cpd00011_c0 + cpd02131_c0	Methionine + H+ <=> CO2 + 3-Methylthiopropanamine	=>
rxn00457	L-Methionine racemase	|5.1.1.2|	R00655	0	2	cpd00060_c0 <=> cpd00637_c0	Methionine <=> D-Methionine	<=>
rxn00456	L-Methionine methanethiol-lyase (deaminating)	|4.4.1.11|	R00654	-1.837	1.26467	cpd00001_c0 + cpd00060_c0 <=> cpd00013_c0 + cpd00094_c0 + cpd00324_c0	H2O + Methionine <=> NH3 + 2-Oxobutyrate + MTTL	=>
rxn00455	N-Formyl-L-methionine amidohydrolase	|3.5.1.31|	R00653	0.737	0.975521	cpd00001_c0 + cpd02012_c0 <=> cpd00047_c0 + cpd00060_c0	H2O + N-Formyl-L-methionine <=> FORM + Methionine	<=>
rxn00454	L-Methionine:glyoxylate aminotransferase	|2.6.1.73|	R00652	-1.46	0.300689	cpd00040_c0 + cpd00060_c0 <=> cpd00033_c0 + cpd00869_c0	Glyoxylate + Methionine <=> Gly + 4-methylthio 2-oxobutyrate	<=>
rxn00452	S-Adenosyl-L-methionine:L-homocysteine S-methyltransferase	|2.1.1.10|	R00650	-13.146	2.60718	cpd00017_c0 + cpd00135_c0 <=> cpd00019_c0 + cpd00060_c0 + cpd00067_c0	SAM + L-Homocysteine <=> S-Adenosylhomocysteine + Methionine + H+	=>
rxn00453	O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)	|2.5.1.49|4.2.99.10|	R00651	-9.356	1.17986	cpd00324_c0 + cpd00790_c0 <=> cpd00029_c0 + cpd00060_c0 + cpd00067_c0	MTTL + O-Acetyl-L-homoserine <=> ACET + Methionine + H+	=>
rxn00451	S-Adenosyl-L-methionine:L-methionine S-methyltransferase	|2.1.1.12|	R00649	0	2	cpd00017_c0 + cpd00060_c0 <=> cpd00019_c0 + cpd02027_c0	SAM + Methionine <=> S-Adenosylhomocysteine + S-Methyl-L-methionine	<=>
rxn00450	L-Methionine:oxygen oxidoreductase (deaminating)	|1.4.3.2|	R00648	-23.0227	1.06194	cpd00001_c0 + cpd00007_c0 + cpd00060_c0 <=> cpd00013_c0 + cpd00025_c0 + cpd00869_c0	H2O + O2 + Methionine <=> NH3 + H2O2 + 4-methylthio 2-oxobutyrate	=>
rxn00449	rxn00449	|1.1.3.8|	R00647	-2.32	1.27261	cpd00059_c0 + cpd00067_c0 <=> cpd02098_c0	Ascorbate + H+ <=> L-xylo-Hexulonolactone	<=>
rxn00447	rxn00447	|1.14.-.-|		-10.36	0.942461	cpd00059_c0 <=> (2) cpd00067_c0 + cpd00766_c0	Ascorbate <=> 2 H+ + Ascorbate radical	=>
rxn00448	Ascorbate:oxygen 2,3-oxidoreductase (bond-cleaving)	|1.13.11.13|	R00646	-128.203	1.70467	cpd00001_c0 + cpd00007_c0 + cpd00059_c0 <=> (2) cpd00067_c0 + cpd00180_c0 + cpd01138_c0	H2O + O2 + Ascorbate <=> 2 H+ + Oxalate + Threonate	=>
rxn00445	L-Galactono-1,4-lactone:oxygen 3-oxidoreductase	|1.3.3.12|	R00643	-24.6297	1.46855	cpd00007_c0 + cpd00820_c0 <=> cpd00025_c0 + cpd00059_c0 + cpd00067_c0	O2 + L-Galactono-1,4-lactone <=> H2O2 + Ascorbate + H+	=>
rxn00444	L-Ascorbate:hydrogen-peroxide oxidoreductase	|1.11.1.11|	R00644	-74.624	1.78746	cpd00025_c0 + cpd00059_c0 + cpd00067_c0 <=> (2) cpd00001_c0 + cpd00335_c0	H2O2 + Ascorbate + H+ <=> 2 H2O + Dehydroascorbate	=>
rxn00443	L-Galactono-1,4-lactone:ferricytochrome-c oxidoreductase	|1.3.2.3|	R00640	10000000	10000000	(2) cpd00109_c0 + cpd00820_c0 <=> cpd00059_c0 + (3) cpd00067_c0 + (2) cpd00110_c0	2 Cytochrome c3+ + L-Galactono-1,4-lactone <=> Ascorbate + 3 H+ + 2 Cytochrome c2+	<=>
rxn00442	2-Oxoglutarate carboxy-lyase	4.1.1.71		9.89	0.764604	cpd00024_c0 + cpd00056_c0 + cpd00067_c0 <=> cpd00011_c0 + cpd03450_c0	2-Oxoglutarate + TPP + H+ <=> CO2 + Succinatesemialdehyde-thiamindiphosphateanion	<=>
rxn00441	2-Oxoglutarate:Thiamin diphosphate 2-oxidoreductase(decarboxylating	|1.2.4.2|	R00621	-6.87	0.764453	cpd00024_c0 + cpd00056_c0 + cpd00067_c0 <=> cpd00011_c0 + cpd03189_c0	2-Oxoglutarate + TPP + H+ <=> CO2 + 3-Carboxy-1-hydroxypropyl-ThPP	=>
rxn00440	ATP:thiamin pyrophosphotransferase	|2.7.6.2|	R00619	-4.5	0.23673	cpd00002_c0 + cpd00305_c0 <=> cpd00018_c0 + cpd00056_c0	ATP + THI <=> AMP + TPP	<=>
rxn00438	ATP:thiamin-phosphate phosphotransferase	2.7.4.16	R00617	0	2	cpd00002_c0 + cpd00793_c0 <=> cpd00008_c0 + cpd00056_c0	ATP + TMP <=> ADP + TPP	<=>
rxn00439	Thiamin-triphosphate phosphohydrolase	|3.6.1.28|	R00618	-6.817	0.717554	cpd00001_c0 + cpd01937_c0 <=> cpd00009_c0 + cpd00056_c0 + cpd00067_c0	H2O + Thiamin triphosphate <=> Phosphate + TPP + H+	=>
rxn00437	ATP:thiamin pyrophosphotransferase	|2.7.4.15|2.7.6.2|	R00616	0	2	cpd00002_c0 + cpd00056_c0 <=> cpd00008_c0 + cpd01937_c0	ATP + TPP <=> ADP + Thiamin triphosphate	<=>
rxn00436	Thiamin diphosphate phosphohydrolase	|3.6.1.15|	R00615	-6.817	0.717554	cpd00001_c0 + cpd00056_c0 <=> cpd00009_c0 + cpd00067_c0 + cpd00793_c0	H2O + TPP <=> Phosphate + H+ + TMP	=>
rxn00435	Formaldehyde:formaldehyde oxidoreductase	|1.2.99.4|	R00614	-16.243	1.32288	cpd00001_c0 + (2) cpd00055_c0 <=> cpd00047_c0 + cpd00067_c0 + cpd00116_c0	H2O + 2 Methanal <=> FORM + H+ + Methanol	=>
rxn00434	N6-Methyl-L-lysine:oxygen oxidoreductase (demethylating)	|1.5.3.4|	R00612	-19.0327	1.36393	cpd00001_c0 + cpd00007_c0 + cpd01771_c0 <=> cpd00025_c0 + cpd00039_c0 + cpd00055_c0	H2O + O2 + N6-Methyl-L-lysine <=> H2O2 + Lysine + Methanal	=>
rxn00433	Sarcosine:oxygen oxidoreductase (demethylating)	|1.5.3.1|	R00610	-19.0327	1.36393	cpd00001_c0 + cpd00007_c0 + cpd00183_c0 <=> cpd00025_c0 + cpd00033_c0 + cpd00055_c0	H2O + O2 + Sarcosine <=> H2O2 + Gly + Methanal	=>
rxn00432	Methanol:oxygen oxidereductase	|1.1.3.13|	R00608	-25.2697	1	cpd00007_c0 + cpd00116_c0 <=> cpd00025_c0 + cpd00055_c0	O2 + Methanol <=> H2O2 + Methanal	=>
rxn00431	Methylamine:(acceptor) oxidoreductase (deaminating)	|1.4.99.3|		-2.993	1	cpd00001_c0 + cpd00187_c0 <=> cpd00013_c0 + cpd00055_c0 + (2) cpd00067_c0	H2O + Methylamine <=> NH3 + Methanal + 2 H+	=>
rxn00430	methanol:NAD+ oxidoreductase	|1.1.1.244|	R00605	6.44	1.26256	cpd00003_c0 + cpd00116_c0 <=> cpd00004_c0 + cpd00055_c0 + cpd00067_c0	NAD + Methanol <=> NADH + Methanal + H+	<=>
rxn00429	Formaldehyde:NAD+ oxidoreductase	|1.2.1.46|	R00604	-9.803	1.35796	cpd00001_c0 + cpd00003_c0 + cpd00055_c0 <=> cpd00004_c0 + cpd00047_c0 + (2) cpd00067_c0	H2O + NAD + Methanal <=> NADH + FORM + 2 H+	=>
rxn00428	Dichloromethane chloride-lyase (chloride-hydrolysing)	|4.5.1.3|	R00603	10000000	10000000	cpd00001_c0 + cpd01530_c0 <=> cpd00055_c0 + (2) cpd00067_c0 + (2) cpd00099_c0	H2O + Dichloromethane <=> Methanal + 2 H+ + 2 HCl	<=>
rxn00427	Hydorogen-peroxide:hydrogen-peroxide oxidoreductase	|1.11.1.6|1.11.1.7|	R00602	-70.624	1.32288	cpd00025_c0 + cpd00116_c0 <=> (2) cpd00001_c0 + cpd00055_c0	H2O2 + Methanol <=> 2 H2O + Methanal	=>
rxn00425	L-2-Amino-3-hydroxypropionic acid racemase	|5.1.1.10|5.1.1.18|	R00589	0	2	cpd00054_c0 <=> cpd00550_c0	Serine <=> D-Serine	<=>
rxn00426	L-Serine hydro-lyase (deaminating)	|4.3.1.17|	R00590	-0.867	0.779214	cpd00054_c0 <=> cpd00001_c0 + cpd01495_c0	Serine <=> H2O + Dehydroalanine	<=>
rxn00424	L-Serine:glyoxylate aminotransferase	|2.6.1.45|	R00588	-1.46	0.300689	cpd00040_c0 + cpd00054_c0 <=> cpd00033_c0 + cpd00145_c0	Glyoxylate + Serine <=> Gly + Hydroxypyruvate	<=>
rxn00423	serine O-acetyltransferase	2.3.1.30	R00586	-3.614	1.17862	cpd00022_c0 + cpd00054_c0 <=> cpd00010_c0 + cpd00722_c0	Acetyl-CoA + Serine <=> CoA + O-Acetyl-L-serine	=>
rxn00422	L-Serine:pyruvate aminotransferase	|2.6.1.51|	R00585	0	2	cpd00020_c0 + cpd00054_c0 <=> cpd00035_c0 + cpd00145_c0	Pyruvate + Serine <=> ALA + Hydroxypyruvate	<=>
rxn00421	Pyrophosphate:L-serine O-phosphotransferase	|2.7.1.80|	R00584	-3.074	0.735634	cpd00012_c0 + cpd00054_c0 <=> cpd00009_c0 + cpd00067_c0 + cpd00738_c0	PPi + Serine <=> Phosphate + H+ + phosphoserine	<=>
rxn00420	L-O-Phosphoserine phosphohydrolase	3.1.3.3	R00582	-2.317	0.735634	cpd00001_c0 + cpd00738_c0 <=> cpd00009_c0 + cpd00054_c0 + cpd00067_c0	H2O + phosphoserine <=> Phosphate + Serine + H+	=>
rxn00419	L-serine:NAD+ oxidoreductase (deaminating)	|1.4.1.7|	R00581	8.687	1.31216	cpd00001_c0 + cpd00003_c0 + cpd00054_c0 <=> cpd00004_c0 + cpd00013_c0 + cpd00067_c0 + cpd00145_c0	H2O + NAD + Serine <=> NADH + NH3 + H+ + Hydroxypyruvate	<=>
rxn00417	L-Glutamine racemase	|5.1.1.9|5.1.1.10|	R00579	0	2	cpd00053_c0 <=> cpd00610_c0	L-Glutamine <=> D-Glutamine	<=>
rxn00418	rxn00418	|2.7.7.-|		-4.4	1.4513	cpd00002_c0 + cpd00054_c0 + cpd00067_c0 <=> cpd00012_c0 + cpd03452_c0	ATP + Serine + H+ <=> PPi + (L-Seryl)adenylate	=>
rxn00415	L-Glutamine:pyruvate aminotransferase	|2.6.1.15|	R00576	0	2	cpd00020_c0 + cpd00053_c0 <=> cpd00035_c0 + cpd00695_c0	Pyruvate + L-Glutamine <=> ALA + 2-Oxoglutaramate	<=>
rxn00416	L-aspartate:L-glutamine amido-ligase (AMP-forming)	6.3.5.4	R00578	-8.243	0.748021	cpd00001_c0 + cpd00002_c0 + cpd00041_c0 + cpd00053_c0 <=> cpd00012_c0 + cpd00018_c0 + cpd00023_c0 + cpd00132_c0	H2O + ATP + Aspartate + L-Glutamine <=> PPi + AMP + GLU + L-Asparagine	=>
rxn00414	Carbon-dioxide:L-glutamine amido-ligase (ADP-forming,	6.3.5.5	R00575	-11.257	0.954661	cpd00001_c0 + (2) cpd00002_c0 + cpd00053_c0 + cpd00242_c0 <=> (2) cpd00008_c0 + cpd00009_c0 + cpd00023_c0 + cpd00067_c0 + cpd00146_c0	H2O + 2 ATP + L-Glutamine + HCO3- <=> 2 ADP + Phosphate + GLU + H+ + Carbamoylphosphate	=>
rxn00413	CTP pyriphosphate-lyase (cyclizing)	|4.6.1.6|	R00574	1.05	2.1824	cpd00052_c0 <=> cpd00012_c0 + cpd00696_c0	CTP <=> PPi + 3',5'-Cyclic CMP	=>
rxn00412	UTP:ammonia ligase(ADP-forming)	6.3.4.2	R00573	-6.397	1.56276	cpd00001_c0 + cpd00002_c0 + cpd00053_c0 + cpd00062_c0 <=> cpd00008_c0 + cpd00009_c0 + cpd00023_c0 + cpd00052_c0 + (2) cpd00067_c0	H2O + ATP + L-Glutamine + UTP <=> ADP + Phosphate + GLU + CTP + 2 H+	=>
rxn00411	CTP:pyruvate O2-phosphotransferase	|2.7.1.40|	R00572	4.61	0.654305	cpd00020_c0 + cpd00052_c0 <=> cpd00061_c0 + cpd00096_c0	Pyruvate + CTP <=> PEP + CDP	<=>
rxn00410	UTP:ammonia ligase(ADP-forming)	|6.3.4.2|	R00571	-1.674	1.46416	cpd00002_c0 + cpd00013_c0 + cpd00062_c0 <=> cpd00008_c0 + cpd00009_c0 + cpd00052_c0 + (2) cpd00067_c0	ATP + NH3 + UTP <=> ADP + Phosphate + CTP + 2 H+	<=>
rxn00409	ATP:nucleoside-diphosphate phosphatransferase	2.7.4.6	R00570	0	2	cpd00002_c0 + cpd00096_c0 <=> cpd00008_c0 + cpd00052_c0	ATP + CDP <=> ADP + CTP	<=>
rxn00408	CTP diphosphohydrolase	|3.6.1.5|3.6.1.15|	R00569	-6.817	0.717554	cpd00001_c0 + cpd00052_c0 <=> cpd00009_c0 + cpd00067_c0 + cpd00096_c0	H2O + CTP <=> Phosphate + H+ + CDP	=>
rxn00407	CTP aminohydrolase	|3.5.4.13|	R00568	-5.143	1.45906	cpd00001_c0 + cpd00052_c0 + cpd00067_c0 <=> cpd00013_c0 + cpd00062_c0	H2O + CTP + H+ <=> NH3 + UTP	=>
rxn00406	L-Arginine racemase	|5.1.1.9|	R00567	0	2	cpd00051_c0 <=> cpd00586_c0	Arginine <=> D-Arginine	<=>
rxn00404	L-Arginine:glycine amidinotransferase	|2.1.4.1|	R00565	0	2	cpd00033_c0 + cpd00051_c0 <=> cpd00064_c0 + cpd00451_c0	Gly + Arginine <=> Ornithine + Glycocyamine	<=>
rxn00405	L-Arginine carboxy-lyase	4.1.1.19	R00566	-3.09	0.5417	cpd00051_c0 + cpd00067_c0 <=> cpd00011_c0 + cpd00152_c0	Arginine + H+ <=> CO2 + Agmatine	=>
rxn00403	D-nopaline:NADP+ oxidoreductase (L-arginine-forming)	|1.5.1.19|	R00563	9.207	1.51055	cpd00001_c0 + cpd00006_c0 + cpd01162_c0 <=> cpd00005_c0 + cpd00024_c0 + cpd00051_c0 + cpd00067_c0	H2O + TPN + D-Nopaline <=> TPNH + 2-Oxoglutarate + Arginine + H+	<=>
rxn00402	N2-(D-1-carboxyethyl)-L-arginine:NADP+ oxidoreductase	|1.5.1.11|	R00562	9.207	1.51055	cpd00001_c0 + cpd00003_c0 + cpd02553_c0 <=> cpd00004_c0 + cpd00020_c0 + cpd00051_c0 + cpd00067_c0	H2O + NAD + Octopine <=> NADH + Pyruvate + Arginine + H+	<=>
rxn00401	L-Arginine:oxygen 2-oxidoreductase (decarboxylating)	|1.13.12.1|	R00559	-109.257	1.04269	cpd00007_c0 + cpd00051_c0 <=> cpd00001_c0 + cpd00011_c0 + cpd01973_c0	O2 + Arginine <=> H2O + CO2 + 4-Guanidinobutanamide	=>
rxn00400	L-Arginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)	|1.14.13.39|	R00558	-68.6767	3.65574	cpd00005_c0 + cpd00007_c0 + cpd00051_c0 <=> cpd00001_c0 + cpd00006_c0 + cpd03527_c0	TPNH + O2 + Arginine <=> H2O + TPN + N-(omega)-Hydroxyarginine	=>
rxn00399	L-Arginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)	|1.14.13.39|		10000000	4.02151	cpd00005_c0 + (3) cpd00007_c0 + (2) cpd00051_c0 <=> (2) cpd00001_c0 + cpd00006_c0 + cpd00067_c0 + (2) cpd00274_c0 + (2) cpd00418_c0	TPNH + 3 O2 + 2 Arginine => 2 H2O + TPN + H+ + 2 Citrulline + 2 NO	<=>
